query,Description,COG
yjgH_yjgH_1_yjgH_2,endoribonuclease L-PSP,J
group_7332,-,-
group_7333,-,-
group_5309,"Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT",S
group_99,-,-
group_639,TraX protein,S
group_7335,-,-
group_876,F plasmid transfer operon protein,CO
group_598,-,-
group_1835,Arc-like DNA binding domain,S
group_1427,-,-
group_7336,HNH endonuclease,L
group_3597,-,-
group_4438,-,-
group_5621,Toxic component of a toxin-antitoxin (TA) module. An RNase,S
group_813,-,-
group_834,nucleoside 2-deoxyribosyltransferase,F
rhaR_3_rhaR_4_rhaR_1_rhaR_2,transcriptional regulator,K
group_9458,helicase superfamily c-terminal domain,L
group_9739,-,-
group_2345,-,-
group_393,-,-
group_840,-,-
group_5246,-,-
group_9674,-,-
group_1193,-,-
group_2355,-,-
group_5094,Immunoglobulin A1 protease,MU
group_4766,Protein of unknown function (DUF1120),NU
group_284,Bacteriophage Rz lysis protein,S
rrrD_rrrD_3_rrrD_2_rrrD_1,lysozyme,G
group_7339,SIR2-like domain,S
yehW,permease,P
group_7340,-,-
group_1308,ORF11CD3 domain,S
group_431,Chitinase class I,M
group_123,-,-
group_3384,EH_Signature domain,S
group_7341,Restriction endonuclease S subunits,V
group_9776,-,-
group_9783,-,-
lpxH,"Hydrolyzes the pyrophosphate bond of UDP-2,3- diacylglucosamine to yield 2,3-diacylglucosamine 1-phosphate (lipid X) and UMP by catalyzing the attack of water at the alpha-P atom. Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell",S
betB,belongs to the aldehyde dehydrogenase family,C
xerC_3_xerC_1_xerC_4_xerC_7,Phage integrase family,L
group_1108,Phage integrase family,L
group_1077,protein conserved in bacteria,S
group_3079,IrrE N-terminal-like domain,E
group_4814,-,-
group_878,Gene 25-like lysozyme,S
group_3866,Oxidative stress defense protein,S
group_5464,Protein of unknown function (DUF2509),S
group_2361,-,-
dmlR_11_dmlR_6_dmlR_2_dmlR_4_dmlR_7_dmlR_8,transcriptional regulator,K
group_5953,Domain of unknown function (DUF4186),S
tsr_4_trg_3_tar_2_tar_1_tsr_3_tsr_5,Chemotaxis,NT
group_1498,-,-
cysH_2_cysH_3,PFAM phosphoadenosine,EH
group_1598,-,-
group_7344,-,-
group_7343,DNA helicase,L
manX,pts system,G
group_5284,Acetyltransferase (GNAT) family,K
yehX,abc transporter atp-binding protein,E
group_7345,(ABC) transporter,V
group_3231,pct identical to residues 1 to 347 of 347 from GenPept.129 gb AAD44731.1 AF141323_2 (AF141323) ShiA Shigella flexneri,S
group_5079,Corresponds to locus_tag,S
group_5443,Corresponds to locus_tag,S
group_4340,cell adhesion,MU
group_3458,"ISSoEn1, terminal inverted repeat",L
group_5815,Transposase and inactivated derivatives,L
group_3160,Transposase and inactivated derivatives,L
pglA,Glycosyl transferase 4-like,M
tagG,ABC-2 type transporter,GM
btuD_1,ABC transporter,GM
group_795,Glycosyl transferases group 1,M
group_2771,Glycosyl transferases group 1,M
group_1259,Hydrolase,S
group_3743,-,-
group_5857,COG0732 Restriction endonuclease S subunits,V
bdcA,COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),IQ
group_4926,Fimbrial protein,NU
group_7346,Pfam:Arm-DNA-bind_3,S
bepA_1_vbhT,Protein involved in cell division,D
group_1241,Putative inner membrane protein (DUF1819),S
yfjS,regulation of single-species biofilm formation,K
group_1630,-,-
group_1084,Belongs to the UPF0401 family,S
gfcB_2,extracellular polysaccharide metabolic process,M
group_7023,Capsule biosynthesis GfcC,S
group_7033,extracellular polysaccharide metabolic process,M
group_7030,polysaccharide export protein,M
etp,low molecular weight,T
etk,Tyrosine-protein kinase,DM
appA_1,myo-inositol hexakisphosphate dephosphorylation,S
group_7034,"oxidase, subunit",C
entS_2_entS_1,Major facilitator superfamily,EGP
group_7347,Baseplate J-like protein,S
group_7348,AAA ATPase domain,S
group_5372,DNA-binding transcriptional regulator Cro,S
fpr,COG1018 Flavodoxin reductases (ferredoxin-NADPH reductases) family 1,C
group_1292,-,-
group_7349,Protein of unknown function (DUF2591),S
group_7350,Necessary for host cell lysis. It is believed to code for an endopeptidase that cleaves the amino-carboxyl cross-link between the diaminopimelic acid and D-alanine residues in the murein component of the bacterial cell wall (By similarity),S
group_3598,peptidoglycan catabolic process,S
group_1813,PFAM tail assembly chaperone gp38,S
tolQ,MotA TolQ ExbB proton channel,U
emrA_1_farA_emrA_3_emrA_2,multidrug resistance,V
group_5992,ASCH,S
group_5316,Phage Tail Collar Domain,S
group_5786,"Caudovirales tail fibre assembly protein, lambda gpK",S
group_1686,-,-
group_5580,-,-
group_1606,-,-
group_7353,-,-
xerC_3_xerC_4_xerC_1_xerC_2,integrase family,L
group_5872,HNH endonuclease,S
group_556,Recombinase zinc beta ribbon domain,L
group_7354,Protein of unknown function (DUF1524),S
group_968,"Phage major capsid protein, P2 family",S
yffB,Belongs to the ArsC family,P
group_7355,Recombinase zinc beta ribbon domain,L
group_4225,"DNA polymerase III, theta subunit",S
ygdR_4,Bacterial protein of unknown function (DUF903),S
group_9482,KAP family P-loop domain,S
group_2426,-,-
group_1774,-,-
group_1783,-,-
group_5419,Protein of unknown function (DUF2732),S
group_2917,-,-
group_3809,Phage capsid scaffolding protein (GPO) serine peptidase,S
group_4163,Reverse transcriptase (RNA-dependent DNA polymerase),L
mscS,Mechanosensitive Ion channel,M
capE,Patatin-like phospholipase,S
cdnE,tRNA cytidylyltransferase activity,J
group_1374,diadenylate cyclase,H
capV,Patatin-like phospholipase,S
dncV,-,-
group_1311,ThiF family,H
group_7358,-,-
traC_2_traC_traC_1,Domain of unknown function (DUF1738),L
group_4080,Domain of unknown function (DUF1837),S
group_111,DEAD DEAH box helicase,L
group_616,TrbL/VirB6 plasmid conjugal transfer protein,U
group_1666,Prophage CP4-57 regulatory protein (AlpA),K
group_1006,-,-
dmlR_4,transcriptional regulator,K
group_2780,YCII-related domain,S
stiP,PELOTA RNA binding domain,J
rayT_rayT_2,Transposase and inactivated derivatives,L
bacC,short-chain dehydrogenase,IQ
group_3248,transcriptional regulator,K
group_5794,Belongs to the 'phage' integrase family,L
group_3987,"Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology",K
group_540,hydrolase activity,S
group_3061,P63C domain,S
group_7360,-,-
group_4287,Tetratricopeptide repeat,S
group_2847,"helix_turn_helix, arabinose operon control protein",K
iolS,Aldo/keto reductase family,C
hns_2,Belongs to the histone-like protein H-NS family,K
ndvB,Cellobiose phosphorylase,G
lpxP_1,Catalyzes the transfer of palmitoleate from palmitoleoyl-acyl carrier protein (ACP) to Kdo(2)-lipid IV(A) to form Kdo(2)-(palmitoleoyl)-lipid IV(A),M
group_2980,Alpha/beta hydrolase family,S
group_963,-,-
group_2414,Protein involved in biological_process,S
group_964,-,-
arsB_2_arsB_1_arsB_3,Involved in arsenical resistance. Thought to form the channel of an arsenite pump,U
klcA_klcA_1,antirestriction protein,S
group_2396,RadC-like JAB domain,L
czcD,TIGRFAM cation diffusion facilitator family transporter,P
hin_1,"PFAM Resolvase, N-terminal domain",L
guaD_2,Amidohydrolase family,F
group_3297,-,-
group_2270,Tn7-like transposition protein D,S
group_2490,Pfam:Arch_ATPase,S
group_2076,Domain of unknown function (DUF3330),T
nrdH,Glutaredoxin-like protein NrdH,O
group_536,Pfam:DUF1311,S
group_7361,-,-
ydiO_haeIIIM,cytosine-specific,H
group_9472,Histidine kinase,T
group_7364,-,-
group_7365,-,-
group_5257,Phage tail-collar fibre protein,S
group_7366,-,-
group_724,Bacteriophage holin family HP1,S
group_7367,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",L
group_7369,Cytosine-specific methyltransferase,H
group_7370,-,-
group_7368,replication,S
group_290,Phage regulatory protein CII (CP76),S
group_3690,protein oligomerization,K
group_2096,-,-
group_1024,Protein of unknown function (DUF3606),S
group_1122,-,-
group_1066,PFAM Pathogenesis-related transcriptional factor and ERF protein,S
group_999,-,-
group_3442,-,-
group_7371,helicase superfamily c-terminal domain,L
group_1196,"COG1961 Site-specific recombinases, DNA invertase Pin homologs",L
fosA_fosA_2_fosA_1_fosB,COG0454 Histone acetyltransferase HPA2 and related acetyltransferases,K
group_7372,Transcriptional regulator,K
group_7373,-,-
group_1005,-,-
group_855,Uncharacterised protein conserved in bacteria (DUF2313),S
group_552,of phage Mu protein gp47,S
group_7374,D12 class N6 adenine-specific DNA methyltransferase,L
group_7375,AAA ATPase domain,S
group_4501,-,-
group_3588,Immunity protein 52,S
thrC,Threonine synthase,E
group_760,N-6 DNA Methylase,V
group_551,"PFAM Restriction endonuclease, type I, S subunit, EcoBI",L
group_6959,COG1404 Subtilisin-like serine proteases,O
group_5502,-,-
group_1371,-,-
group_7376,-,-
group_9705,self proteolysis,M
uvrD_1_uvrD_2,UvrD-like helicase C-terminal domain,L
group_7377,AAA ATPase domain,L
group_7380,-,-
group_7379,-,-
rop_1,Rop protein,S
group_7381,-,-
group_7382,SpoVT / AbrB like domain,T
group_9396,"Psort location Cytoplasmic, score 8.96",H
ftsK,Ftsk_gamma,D
group_1671,-,-
group_7383,nuclear chromosome segregation,D
group_7384,Prophage CP4-57 regulatory protein (AlpA),K
group_9436,-,-
group_7385,-,-
group_9555,-,-
group_7390,Protein of unknown function DUF262,K
haeIIIM,C-5 cytosine-specific DNA methylase,L
group_7396,-,-
group_7393,-,-
group_7397,Domain of unknown function (DUF4868),S
group_1278,-,-
group_216,T5orf172,S
casD,CRISPR-associated protein (Cas_Cas5),S
group_1235,Type III restriction enzyme res subunit,L
group_7401,tRNA cytidylyltransferase activity,J
group_1581,-,-
group_7403,-,-
group_3789,-,-
group_225,Evidence 4 Homologs of previously reported genes of,V
group_2564,Integrating conjugative element protein PilL,M
group_5112,-,-
group_1063,-,-
group_3694,-,-
group_4224,Protein of unknown function (DUF1525),S
group_7405,-,-
group_7407,Protein of unknown function (DUF3987),S
group_7408,-,-
group_3014,Ead/Ea22-like protein,S
group_7422,"Mu transposase, C-terminal",L
group_7425,MerE protein,S
group_7412,Resistance to Hg(2 ) in bacteria appears to be governed by a specialized system which includes mercuric reductase. MerA protein is responsible for volatilizing mercury as Hg(0),H
group_7411,Membrane transport protein MerF,S
group_5172,-,-
group_1473,-,-
group_720,"terminase, small subunit",L
group_7427,Domain of unknown function (DUF4145),S
group_7429,-,-
group_7428,-,-
group_7430,ATPase involved in DNA repair,L
sxy_3_sxy_1_sxy_2,regulator of competence-specific genes,K
group_9514,Type I restriction modification DNA specificity domain,V
group_5642,Belongs to the 'phage' integrase family,L
group_4721,-,-
group_3332,Domain of unknown function (DUF4145),S
group_7431,Ead/Ea22-like protein,S
group_1803,-,-
group_7432,-,-
group_2711,Belongs to the 'phage' integrase family,L
group_2748,Belongs to the 'phage' integrase family,L
group_2981,nuclease activity,L
group_6036,RadC-like JAB domain,L
group_2919,-,-
group_4539,ATPase AAA,L
group_1543,Integrase core domain,L
group_1515,-,-
group_957,Protein of unknown function (DUF736),S
group_770,Xre family transcriptional regulator,K
group_373,Protein of unknown function (DUF2958),E
group_3691,Replication initiator protein,L
soj,chromosome partitioning,D
group_3179,-,-
group_5543,Protein of unknown function (DUF2840),S
group_5113,"Type IV secretory pathway, protease TraF",OU
group_954,Protein of unknown function (DUF3363),U
pcpR_2,transcriptional regulator,K
group_5978,"Putative inner membrane exporter, YdcZ",S
mhqN,Nitroreductase family,C
hcaR_1,transcriptional regulator,K
group_3235,-,-
group_3924,transcriptional,K
jefA,Major Facilitator Superfamily,EGP
hcaR_2,transcriptional regulator,K
group_3271,-,-
traG,PFAM TRAG family protein,U
group_592,"Ribbon-helix-helix protein, copG family",U
group_2985,P-type conjugative transfer atpase trbb,U
group_2535,TrbC/VIRB2 family,U
group_3105,conjugal transfer protein trbD,NU
group_471,"CagE, TrbE, VirB family, component of type IV transporter system",U
group_4290,transfer protein trbJ,U
group_2848,conjugation,U
group_2538,transfer protein trbL,U
group_4496,Conjugal transfer protein,U
group_3138,transfer protein TrbG,U
group_2647,conjugation TrbI family protein,U
group_3290,Protein of unknown function (DUF2274),S
group_3232,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",L
group_3232_2*,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",L
group_6038,-,-
rsmD,Specifically methylates the guanine in position 966 of 16S rRNA in the assembled 30S particle,L
gph_2,HAD-hyrolase-like,S
group_7433,-,-
rhaS_2_rhaS_1,Activates expression of the rhaBAD and rhaT operons,K
group_4849,-,-
norR_norR_1,"regulates genes involved in forming a 2',3'-cyclic phosphodiester on RNA",K
group_381,YjbD family (DUF3811),S
group_463,addiction module antidote protein,K
group_4872,"Platelet-activating factor acetylhydrolase, isoform II",S
group_1290,Belongs to the NiCoT transporter (TC 2.A.52) family,U
kdgT,"The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system",U
crfC_crfC_1_crfC_2,chromosome segregation,S
group_850,PhnA Zinc-Ribbon,P
yteT_iolG_2,oxidoreductase,S
group_5208,-,-
group_5499,Enterobacterial putative membrane protein (DUF943),S
clcA,"Probably acts as an electrical shunt for an outwardly- directed proton pump that is linked to amino acid decarboxylation, as part of the extreme acid resistance (XAR) response",P
group_7438,-,-
group_7441,-,-
group_5332,Protein of unknown function (DUF2724),S
group_7442,-,-
nanE,Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N-acetylglucosamine-6-phosphate (GlcNAc-6-P),G
emrB,Major facilitator superfamily,EGP
menC,"Converts 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1- carboxylate (SHCHC) to 2-succinylbenzoate (OSB)",H
yeiR,"cobalamin synthesis protein, P47K",S
hcpA_3,"Type VI secretion system effector, Hcp",S
group_2578,Protein of unknown function (DUF2778),S
group_7443,"AAA domain, putative AbiEii toxin, Type IV TA system",S
cutC_cutC_1_cutC_2,Participates in the control of copper homeostasis,P
group_5793,glyoxalase,E
cpdA_3,Calcineurin-like phosphoesterase,P
group_5567,Diguanylate cyclase phosphodiesterase with GAF sensor,T
group_37,response to cobalt ion,S
group_162,"Subunit R is required for both nuclease and ATPase activities, but not for modification",V
group_2688,Type I restriction modification DNA specificity domain,V
group_390,"hsdM type I restriction-modification system, M subunit",V
group_2642,McrBC 5-methylcytosine restriction system component,V
group_823,GTPase subunit of restriction endonuclease,V
group_2072,Prophage CP4-57 regulatory protein (AlpA),K
group_2052,Inovirus Gp2,S
group_2037,-,-
group_2457,WYL domain,K
group_520,carboxylic ester hydrolase activity,S
yrdA,"COG0663 Carbonic anhydrases acetyltransferases, isoleucine patch superfamily",S
bin3_2_bin3_bin3_1,resolvase,L
group_7446,-,-
group_7448,"Protein of unknown function, DUF488",S
group_7445,Domain of unknown function (DUF4326),S
group_7449,Belongs to the 'phage' integrase family,L
group_1013,-,-
group_3592,Arm DNA-binding domain,L
group_9521,Virulence protein RhuM family,S
group_7451,"This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex",L
group_7452,Type I restriction modification DNA specificity domain,L
group_7453,HsdM N-terminal domain,V
group_7454,"AAA domain, putative AbiEii toxin, Type IV TA system",V
group_990,-,-
group_6887,-,-
group_6889,-,-
bin3_bin3_3,"PFAM Resolvase, N-terminal domain",L
group_6813,Cro/C1-type HTH DNA-binding domain,K
rlmD,Catalyzes the formation of 5-methyl-uridine at position 1939 (m5U1939) in 23S rRNA,J
ssb_1_ssb_2,"Plays an important role in DNA replication, recombination and repair. Binds to ssDNA and to an array of partner proteins to recruit them to their sites of action during DNA metabolism",L
prtR,Helix-turn-helix XRE-family like proteins,K
group_1514,Replication protein P,S
group_764,-,-
group_1484,Bacteriophage Rz lysis protein,S
group_3106,-,-
group_332,"Phage tail tube protein, TTP",N
group_7455,-,-
intS_intS_1_intS_2_intS_3,Belongs to the 'phage' integrase family,L
mdtB_1_mdtB_2_mdtB,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,V
group_33,sister chromatid segregation,D
group_593,-,-
group_314,"Phage tail assembly chaperone, TAC",S
group_7456,Acyltransferase family,I
group_4670,-,-
group_9678,tape measure protein,M
group_2122,N-acetylmuramoyl-L-alanine amidase activity,S
group_7457,-,-
group_9638,-,-
group_7458,-,-
group_776,A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD,L
group_7459,-,-
group_7460,"Adenylyl- / guanylyl cyclase, catalytic domain",T
group_5623,Phage tail protein (Tail_P2_I),S
group_2374,tail collar domain protein,M
group_1582,"Caudovirales tail fibre assembly protein, lambda gpK",S
group_1652,major tail tube protein,S
group_5017,P2 GpU family protein,S
group_7461,-,-
group_7462,-,-
group_965,-,-
group_594,Domain of unknown function (DUF4406),S
group_3520,Domain of unknown function (DUF4156),M
group_7465,-,-
group_4987,"Resolvase, N terminal domain",L
group_2712,Phage plasmid primase P4 family,KL
group_1217,Recombination endonuclease VII,S
group_7466,-,-
group_4171,Belongs to the GST superfamily,O
group_5503,-,-
group_9502,-,-
group_3372,-,-
group_103,-,-
bioA,"Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor",H
ybiI_ybiI_1_ybiI_2,DnaK suppressor protein,T
group_5892,Protein involved in biological_process,S
group_1557,-,-
group_7468,-,-
group_9706,outer membrane,S
group_1471,Acyltransferase family,I
group_86,"Putative 3TM holin, Phage_holin_3",S
group_2002,chitinase activity,S
group_7469,"Serine aminopeptidase, S33",I
group_572,Acyltransferase family,M
group_1435,protein conserved in bacteria,S
group_9505,-,-
group_5413,-,-
group_9692,Domain of Unknown Function with PDB structure (DUF3850),S
group_783,transposase activity,L
group_7472,Glucosyl transferase GtrII,S
group_6965,PFAM transposase IS3 IS911 family protein,L
yeeR,methyltransferase activity,O
group_7027,-,-
group_7029,WYL domain,K
cdhR_2_rhaS_4_rhaS_1_rhaS_5,transcriptional regulator,K
lacI_1_lacI_3,binds specific sites in lac operon resulting in DNA looping between the operators,K
lpxP_1_lpxP_lpxP_2,Catalyzes the transfer of laurate from lauroyl-acyl carrier protein (ACP) to Kdo(2)-lipid IV(A) to form Kdo(2)- (lauroyl)-lipid IV(A),M
group_5260,-,-
group_4656,"helix_turn_helix, arabinose operon control protein",K
group_649,Transcriptional regulator,K
group_5960,Glycosyltransferase (GlcNAc),S
entD,Belongs to the P-Pant transferase superfamily,Q
fes_fes_2_fes_1,esterase,P
metI_2_metI_1,ABC-type metal ion transport system permease component,P
rseP,zinc metalloprotease,M
dapB,Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate,E
group_4463,N-6 DNA Methylase,LV
group_3318,-,-
group_5949,-,-
group_194,Transcriptional regulator,K
xerC_3,integrase family,L
group_2975,-,-
group_7473,-,-
group_1673,-,-
group_2982,Belongs to the NAD(P)-dependent epimerase dehydratase family. dTDP-glucose dehydratase subfamily,M
rhaR_5,AraC family transcriptional regulator,K
ccpA_1_ccpA_3_ccpA_2_malR,transcriptional regulator,K
group_4970,PFAM PEBP family protein,S
group_7474,-,-
group_7475,-,-
group_7476,Bacteriophage CI repressor C-terminal domain,K
group_7477,Protein of unknown function (DUF1524),S
elfA,Fimbrial protein,NU
mngR_1_mngR_2_mngR_3,Transcriptional regulator,K
group_7478,Domain of unknown function (DUF4365),S
yedP,Mannosyl-3-phosphoglycerate phosphatase,S
abaF_abaF_2,MFS/sugar transport protein,EGP
btuC_1_fhuB,Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily,P
group_7479,Protein of unknown function (DUF550),S
group_1331,Terminase small subunit,S
group_5551,ERF superfamily,S
ybcO,phage protein,S
rusA_rusA_2_rusA_1,"Endonuclease that resolves Holliday junction intermediates made during homologous genetic recombination and DNA repair. Exhibits sequence and structure-selective cleavage of four-way DNA junctions, where it introduces symmetrical nicks in two strands of the same polarity at the 5' side of dinucleotides. Corrects the defects in genetic recombination and DNA repair associated with inactivation of ruvAB or ruvC",L
group_1470,"Putative 3TM holin, Phage_holin_3",S
rrrD_2_rrrD,lysozyme,G
group_1141,Bacteriophage Rz lysis protein,S
group_5904,-,-
group_3344,Uncharacterized small protein (DUF2158),S
group_5308,DNA packaging,L
group_7480,-,-
group_5577,HNH nucleases,V
group_1757,-,-
group_1758,Protein involved in biological_process,S
group_1753,-,-
group_9487,-,-
group_5039,terminase,S
group_2065,-,-
group_7481,RelA SpoT,S
cdd_2_cdd_cdd_1,This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis,F
dmlR_2_dmlR_9_dmlR_3_dmlR_7,Transcriptional regulator,K
group_283,Permeases of the drug metabolite transporter (DMT) superfamily,EG
group_5254,-,-
gcvA_1,LysR substrate binding domain,K
chaC,"Catalyzes the cleavage of glutathione into 5-oxo-L- proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides",P
group_751,Domain of Unknown Function with PDB structure (DUF3850),S
group_7482,Glucosyl transferase GtrII,S
bioD1_1_bioD1_2,"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring",H
sotB,Involved in the efflux of sugars. The physiological role may be the reduction of the intracellular concentration of toxic sugars or sugar metabolites,EGP
rplS,Belongs to the N(4) N(6)-methyltransferase family,L
murR_2_rpiR,"Helix-turn-helix domain, rpiR family",K
yidZ_2_yidZ_1,transcriptional regulator,K
licC_4_licC_3,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane",G
group_9365,-,-
group_7483,-,-
COQ3_cmoM_1,COG0500 SAM-dependent methyltransferases,H
mlaB,NTP binding protein (Contains STAS domain),S
dtd,"rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality",J
ykfI,CbtA_toxin of type IV toxin-antitoxin system,S
group_3546,Protein of unknown function (DUF987),S
group_2475,"Psort location Cytoplasmic, score 8.96",L
group_7484,Antirestriction protein,S
group_7485,-,-
group_7487,Inovirus Gp2,S
group_7488,transcriptional regulator,K
group_7491,Putative inner membrane protein (DUF1819),S
group_7497,"COG0553 Superfamily II DNA RNA helicases, SNF2 family",L
group_7496,COG4823 Abortive infection bacteriophage resistance protein,V
group_7494,AIPR protein,S
group_7493,COG2189 Adenine specific DNA methylase Mod,L
group_7492,protein conserved in bacteria,KL
group_7498,"Subunit R is required for both nuclease and ATPase activities, but not for modification",V
group_456,Membrane,S
group_9688,-,-
ybhF,(ABC) transporter,V
group_3608,Glycosyltransferases,S
pglJ,Glycosyl transferases group 1,M
tuaG,Glycosyltransferase like family 2,M
group_3420,Domain of unknown function (DUF1837),S
group_4493,helicase superfamily c-terminal domain,L
group_2441,Pfam:DUF1311,S
group_2366,Protein of unknown function (DUF3828),S
group_7499,Lysozyme inhibitor LprI,S
group_7500,EF Hand Domain Protein,M
smc_2_smc_smc_1,nuclear chromosome segregation,D
group_596,Protein of unknown function (DUF550),S
rdgC_1_rdgC_2,May be involved in recombination,J
lysN_2_hisC_2_hisC_1_lysN,transaminase activity,K
group_5806,-,-
iucB_iucB_2_iucB_1,Siderophore biosynthesis protein,J
group_5824,Protein of unknown function (DUF2931),S
group_7501,-,-
group_9647,Protein of unknown function (DUF2750),S
group_2339,DNA primase activity,S
group_143,NUMOD4 motif,L
group_7503,-,-
group_3030,-,-
group_5512,Protein of unknown function (DUF1481),S
purH,bifunctional purine biosynthesis protein purh,F
group_7504,Phage gp6-like head-tail connector protein,S
group_7505,-,-
group_9398,alpha/beta hydrolase fold,I
group_7506,LysR substrate binding domain,K
gor_2_sthA_1_gor,Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family,C
group_7509,Phage integrase family,L
group_7508,viral genome integration into host DNA,L
group_7512,viral genome integration into host DNA,L
group_7510,-,-
group_7507,"Type III restriction enzyme, res subunit",L
vspR,-,-
group_7511,transcriptional regulator,K
ygiW_2_ygiW_3_ygiW_1,Bacterial OB fold (BOF) protein,S
group_2105,Belongs to the NiCoT transporter (TC 2.A.52) family,P
group_1817,Major Facilitator,EGP
group_1995,Transglutaminase-like,E
group_2034,-,-
group_2035,-,-
group_2073,HupE / UreJ protein,O
group_2077,-,-
group_7515,Helix-turn-helix XRE-family like proteins,K
group_7513,Patatin-like phospholipase,S
group_7517,-,-
group_7514,ThiF family,H
group_7516,-,-
group_7518,-,-
group_527,Conserved phage C-terminus (Phg_2220_C),K
group_4792,DNA methylase,L
group_7519,-,-
eamB,Lysine exporter protein (LYSE YGGA),E
group_90,ABC-type transport system involved in lysophospholipase L1 biosynthesis permease component,Q
group_3593,-,-
group_3233,XamI restriction endonuclease,L
group_2144,Eco57I restriction endonuclease,L
group_1387,-,-
group_1386,-,-
group_3692,Pfam:DUF1311,S
group_7522,-,-
group_7523,-,-
group_2423,-,-
gyrA,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",L
group_1609,Conjugal transfer protein,U
group_7524,competence protein,S
group_7527,Reverse transcriptase (RNA-dependent DNA polymerase),L
group_7525,Nacht domain,T
group_7526,UvrD/REP helicase N-terminal domain,L
group_7530,"Positive regulator of the expression of the slpA gene. When overexpressed, leads to suppression of the capsule overproduction and UV sensitivity phenotypes of cells mutant for the Lon ATP-dependent protease. Part of the cryptic P4-like prophage CP4-57. Overexpression of AlpA leads to excision of the CP4-57 prophage by IntA. This inactivates ssrA (the gene upstream of the prophage) that encodes tmRNA which is required to rescue stalled ribosomes in a process known as trans-translation",K
group_1670,Belongs to the UPF0758 family,E
group_7531,restriction endodeoxyribonuclease activity,V
group_7539,-,-
group_7533,-,-
group_7540,-,-
yjjV_1,TatD related DNase,L
group_7537,PP-loop superfamily ATPase,F
group_7538,-,-
group_7535,KAP family P-loop domain,S
group_7536,Domain of unknown function DUF87,S
group_7532,SIR2-like domain,S
