Gene,Annotation
group_638,hypothetical protein
group_401,hypothetical protein
group_272,hypothetical protein
xerD_3_xerC_5_xerC_2_xerD_1_xerC_7,Tyrosine recombinase XerD;Tyrosine recombinase XerC;hypothetical protein
group_177,hypothetical protein
group_25,hypothetical protein
group_5340,hypothetical protein
group_4965,hypothetical protein
group_4852,hypothetical protein
group_3835,hypothetical protein
group_2594,hypothetical protein
group_2130,hypothetical protein
group_1959,hypothetical protein
group_1930,Putative transposon Tn552 DNA-invertase bin3
bin3_2_bin3_bin3_1_bin3_3,Putative transposon Tn552 DNA-invertase bin3
group_1697,hypothetical protein
group_1636,hypothetical protein
group_1627,hypothetical protein
group_1455,hypothetical protein
intQ_2_intQ,Putative defective protein IntQ
group_1404,hypothetical protein
group_1071,hypothetical protein
group_694,hypothetical protein
group_437,hypothetical protein
group_114,hypothetical protein
group_5638,hypothetical protein
pqqE_2_pqqE_1_moaA_1,hypothetical protein;PqqA peptide cyclase;GTP 3'8-cyclase
group_4273,hypothetical protein
group_4072,hypothetical protein
group_3307,hypothetical protein
yfjZ_2_cbeA_yfjZ_cbeA_2,Antitoxin YfjZ;Cytoskeleton bundling-enhancing antitoxin CbeA
nudI,Nucleoside triphosphatase NudI
group_1291,hypothetical protein
icd_2_icd_1,Isocitrate dehydrogenase [NADP]
group_970,hypothetical protein
group_348,hypothetical protein
group_6061,hypothetical protein
group_3491,GTPase Era
fieF_1,Ferrous-iron efflux pump FieF
group_2134,IS5 family transposase ISKpn26;hypothetical protein
group_1556,hypothetical protein
group_1429,hypothetical protein
group_897,hypothetical protein
group_833,hypothetical protein
group_782,hypothetical protein
group_760,putative type I restriction enzymeP M protein;hypothetical protein
group_643,hypothetical protein
intS_3_intA_1_intA_intA_5,Prophage integrase IntS;Prophage integrase IntA;hypothetical protein
group_224,hypothetical protein
group_4993,hypothetical protein
group_4957,hypothetical protein
group_4950,hypothetical protein
group_3872,hypothetical protein
group_3234,hypothetical protein
abaF_3_abaF_2_abaF_1,Fosfomycin resistance protein AbaF
group_1858,hypothetical protein
group_1664,hypothetical protein
group_1410,hypothetical protein
group_709,hypothetical protein
group_639,hypothetical protein
group_569,hypothetical protein
group_470,hypothetical protein
xerC_5_xerC_2_xerC_3,Tyrosine recombinase XerC
group_86,hypothetical protein
group_45,hypothetical protein
group_5452,hypothetical protein
group_4699,hypothetical protein
group_4086,hypothetical protein
group_3826,hypothetical protein
group_3764,hypothetical protein
group_2053,hypothetical protein
group_2017,hypothetical protein
group_1631,Putative prophage major tail sheath protein
group_1435,hypothetical protein
group_1321,hypothetical protein
group_1096,hypothetical protein
group_993,hypothetical protein
group_938,hypothetical protein
group_819,hypothetical protein
group_664,hypothetical protein
group_72,hypothetical protein
group_5365,hypothetical protein
group_5237,hypothetical protein
lexA_5,hypothetical protein;putative HTH-type transcriptional regulator;LexA repressor
group_5085,hypothetical protein
ybiA,N-glycosidase YbiA
group_4342,hypothetical protein
group_4064,hypothetical protein
group_4063,hypothetical protein
group_4062,hypothetical protein
group_3212,hypothetical protein
group_2098,hypothetical protein
noc_noc_3_noc_1,Nucleoid occlusion protein
group_1722,hypothetical protein
group_1698,hypothetical protein
pinR,Tn3 family transposase ISYps3;Serine recombinase PinR;hypothetical protein
group_1060,hypothetical protein
group_788,hypothetical protein
group_431,hypothetical protein
group_5832,hypothetical protein
group_5559,hypothetical protein
group_5533,hypothetical protein
group_5408,hypothetical protein
group_5295,hypothetical protein
group_4855,hypothetical protein
group_4719,putative HTH-type transcriptional regulator
group_4615,hypothetical protein
group_4194,hypothetical protein
group_3842,hypothetical protein
group_3606,hypothetical protein
group_3431,hypothetical protein
xerC_7,Tyrosine recombinase XerC
group_2558,hypothetical protein
group_2229,hypothetical protein
vapB,hypothetical protein;Antitoxin VapB
group_1721,hypothetical protein
group_1355,hypothetical protein
group_1269,hypothetical protein
group_1230,IS66 family transposase ISKpn24;IS66 family transposase ISEc22;IS66 family transposase ISSgsp1;IS66 family transposase ISEc78
group_862,hypothetical protein
group_505,hypothetical protein
group_330,hypothetical protein
group_5834,hypothetical protein
group_5622,hypothetical protein
group_5521,hypothetical protein
group_5520,hypothetical protein
group_5204,hypothetical protein
group_4930,hypothetical protein
yfcP,putative fimbrial-like protein YfcP
group_4610,hypothetical protein
group_4117,putative fimbrial-like protein YfcQ
group_3227,hypothetical protein
group_2286,hypothetical protein
group_2262,hypothetical protein
group_2206,hypothetical protein
group_260,hypothetical protein
intS_intS_1_intS_2_intS_3,Prophage integrase IntS
group_4642,hypothetical protein
group_4104,hypothetical protein
group_3980,hypothetical protein
group_3410,hypothetical protein
flxA_1,Protein FlxA
group_2371,hypothetical protein
arsH_1_arsH,NADPH-dependent FMN reductase ArsH;hypothetical protein
group_1479,hypothetical protein
rhsC_6_rhsD,Putative deoxyribonuclease RhsC;hypothetical protein;Protein RhsD
group_1213,hypothetical protein
xerC_6_xerC_1_xerC_3_xerC_2_xerC_4_xerC_5,Tyrosine recombinase XerC
group_5833,hypothetical protein
group_5600,hypothetical protein
lacZ_4,hypothetical protein;Beta-galactosidase
btuB_3_pfeA_2,Vitamin B12 transporter BtuB;Ferric enterobactin receptor
group_4302,hypothetical protein
group_4215,hypothetical protein
group_3465,hypothetical protein
group_2931,hypothetical protein
intQ_1_intQ_2_intQ,Putative defective protein IntQ
group_403,hypothetical protein
group_62,hypothetical protein
group_5771,Glucose-1-phosphate thymidylyltransferase 2
cdiA_1_cdiA_2_cdiA_cdiA_3,tRNA nuclease CdiA;hypothetical protein
group_5700,hypothetical protein
group_5057,hypothetical protein
rffG,dTDP-glucose 46-dehydratase 2
group_4885,hypothetical protein
group_4643,hypothetical protein
group_3993,hypothetical protein
group_3085,hypothetical protein
group_1621,hypothetical protein
xerC_3_xerC_4_xerC_1_xerC_2,Tyrosine recombinase XerC
group_1251,hypothetical protein
group_631,hypothetical protein
group_455,hypothetical protein
group_147,hypothetical protein
group_65,hypothetical protein
group_6320,hypothetical protein
group_5876,hypothetical protein
group_5288,hypothetical protein
group_4866,IS3 family transposase ISEhe3
group_4351,hypothetical protein
group_4119,hypothetical protein
group_2112,hypothetical protein
group_1524,hypothetical protein
group_1514,hypothetical protein
group_1416,hypothetical protein
group_405,hypothetical protein
group_361,hypothetical protein
group_145,hypothetical protein
group_4956,hypothetical protein
group_4400,hypothetical protein
group_4168,hypothetical protein
group_2097,hypothetical protein
repA_repA_3,Replication initiation protein;hypothetical protein
rusA_1_rusA_3_rusA_rusA_2,Crossover junction endodeoxyribonuclease RusA
flmA_1_flmA_2,Stable plasmid inheritance protein;hypothetical protein
group_1235,hypothetical protein
group_1136,hypothetical protein
group_1082,hypothetical protein
group_799,hypothetical protein
group_792,hypothetical protein
group_659,hypothetical protein
group_572,hypothetical protein
group_46,hypothetical protein
group_5760,hypothetical protein
group_5491,hypothetical protein
group_5252,hypothetical protein
group_5218,hypothetical protein
group_5048,hypothetical protein
group_4096,hypothetical protein
group_4088,hypothetical protein
group_3082,hypothetical protein
group_2386,hypothetical protein
group_2088,hypothetical protein
group_1555,hypothetical protein
group_503,hypothetical protein
gpFI,hypothetical protein;Putative prophage major tail sheath protein
group_5536,hypothetical protein
group_5232,hypothetical protein
group_4856,hypothetical protein
group_3405,hypothetical protein
group_2997,hypothetical protein
group_2240,hypothetical protein
group_1430,hypothetical protein
group_1113,hypothetical protein
group_275,hypothetical protein
group_236,hypothetical protein
group_5553,LexA repressor
group_5317,Single-stranded DNA-binding protein
group_5309,hypothetical protein
group_4230,hypothetical protein
group_4138,hypothetical protein
group_3780,hypothetical protein
group_1787,hypothetical protein
vapC_vapC_1_vapC_2,tRNA(fMet)-specific endonuclease VapC
group_1354,hypothetical protein
group_932,hypothetical protein
dnaE2,hypothetical protein;Error-prone DNA polymerase
group_296,hypothetical protein
rhsIC,Immunity protein RhsIC
intA_6_intA_1_intA_2_intA_3,Prophage integrase IntA;hypothetical protein
group_4646,hypothetical protein
yxbC,hypothetical protein;putative protein YxbC
group_4394,hypothetical protein
group_4326,hypothetical protein
group_3805,hypothetical protein
group_3494,hypothetical protein
group_3314,hypothetical protein
arsR2_1_arsR2,Arsenic resistance transcriptional regulator ArsR2;hypothetical protein
group_2058,hypothetical protein
group_977,hypothetical protein
group_944,hypothetical protein
group_23,hypothetical protein
group_5861,hypothetical protein
intA_1_intA_2,Prophage integrase IntA
group_5173,hypothetical protein
group_4661,hypothetical protein
asnH,Asparagine synthetase [glutamine-hydrolyzing] 2
group_4519,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial
group_4320,hypothetical protein
ligA_2,DNA ligase
group_3158,hypothetical protein
group_2047,putative protein;hypothetical protein
group_1994,Tn3 family transposase ISSba14;Tn3 family transposase TnEc1;hypothetical protein
group_1860,hypothetical protein
group_1563,hypothetical protein
group_1386,hypothetical protein
group_1299,hypothetical protein
xerC_3_xerC_6_xerC_2_xerC_1,Tyrosine recombinase XerC;hypothetical protein
group_965,hypothetical protein
group_945,hypothetical protein
group_825,hypothetical protein
group_675,hypothetical protein
cdiA_cdiA_2_cdiA_1,hypothetical protein;tRNA nuclease CdiA
group_299,hypothetical protein
group_196,hypothetical protein
group_149,hypothetical protein
group_5899,putative fimbrial-like protein YfcP
group_5866,hypothetical protein;putative fimbrial-like protein YfcQ
group_5526,hypothetical protein
group_5480,hypothetical protein
group_5457,hypothetical protein
group_5132,HTH-type transcriptional regulator PrtR
group_4884,hypothetical protein
group_4043,hypothetical protein
rfaL,hypothetical protein;O-antigen ligase
capD,UDP-glucose 4-epimerase
arnC_2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
group_3337,hypothetical protein
wbjC,UDP-2-acetamido-26-beta-L-arabino-hexul-4-ose reductase
wbpI,UDP-23-diacetamido-23-dideoxy-D-glucuronate 2-epimerase
yhbX,Putative transferase YhbX
group_1778,hypothetical protein
group_1770,hypothetical protein
group_1600,hypothetical protein
group_1599,hypothetical protein
group_1058,hypothetical protein
group_1047,hypothetical protein
group_956,hypothetical protein
group_858,hypothetical protein
group_768,hypothetical protein
group_507,hypothetical protein
group_490,hypothetical protein
group_388,hypothetical protein
ivy,Inhibitor of vertebrate lysozyme
group_4779,hypothetical protein
group_4152,putative fimbrial-like protein YfcR
group_3460,hypothetical protein
group_2734,hypothetical protein
dnaG_2,hypothetical protein;DNA primase
group_2278,hypothetical protein
group_1845,hypothetical protein
group_1644,hypothetical protein
group_1537,hypothetical protein
group_1527,hypothetical protein
group_1437,hypothetical protein
group_629,hypothetical protein
group_248,hypothetical protein
group_180,hypothetical protein
group_5941,hypothetical protein
group_4836,hypothetical protein
group_4607,hypothetical protein
engB_1,hypothetical protein;GTP-binding protein EngB
flmA_2,hypothetical protein;Stable plasmid inheritance protein
group_3792,hypothetical protein
group_3711,hypothetical protein
ariR_2,putative two-component-system connector protein AriR
xerC_2_xerC_1_xerC_4_xerC_3,Tyrosine recombinase XerC
group_1687,hypothetical protein
group_1522,hypothetical protein
group_502,hypothetical protein
group_279,hypothetical protein
group_222,hypothetical protein
fecI,putative RNA polymerase sigma factor FecI
group_5407,hypothetical protein
fecR_2_fecR_1_fecR,Protein FecR
fecE_1,Fe(3+) dicitrate transport ATP-binding protein FecE
fecD,Fe(3+) dicitrate transport system permease protein FecD
group_3928,hypothetical protein
group_3811,hypothetical protein
group_3793,hypothetical protein
group_3680,hypothetical protein
fecB,Fe(3+) dicitrate-binding periplasmic protein
fecC,Fe(3+) dicitrate transport system permease protein FecC
group_2275,hypothetical protein
group_2230,hypothetical protein
group_2110,hypothetical protein
group_1952,hypothetical protein
group_1951,hypothetical protein
group_1699,hypothetical protein
group_1674,hypothetical protein
group_1106,hypothetical protein
group_1092,hypothetical protein
group_808,hypothetical protein
fecA_1,Fe(3+) dicitrate transport protein FecA
group_543,hypothetical protein
group_6035,hypothetical protein
group_5683,hypothetical protein
group_5312,hypothetical protein
group_5217,hypothetical protein
group_4411,hypothetical protein
group_4349,hypothetical protein
group_3992,hypothetical protein
group_3306,hypothetical protein
group_3157,hypothetical protein
group_2614,hypothetical protein
group_1918,hypothetical protein
dcm_1_dcm_2,DNA-cytosine methyltransferase
ecoRIIR_ecoRIIR_1_ecoRIIR_2,Type-2 restriction enzyme EcoRII
group_1838,hypothetical protein
group_1828,hypothetical protein
group_1817,hypothetical protein
group_1815,hypothetical protein
csoR,Copper-sensing transcriptional repressor CsoR;hypothetical protein
group_1763,hypothetical protein
group_1575,hypothetical protein
group_1417,hypothetical protein
group_1361,hypothetical protein
intS_intA_2_intS_2_intA_1_intS_1_intA,Prophage integrase IntS;Prophage integrase IntA;hypothetical protein
group_1149,hypothetical protein
group_990,hypothetical protein
group_958,hypothetical protein
group_591,hypothetical protein
group_362,hypothetical protein
group_6069,hypothetical protein
group_5777,hypothetical protein
group_2273,hypothetical protein
group_1968,hypothetical protein
group_1584,hypothetical protein
group_1484,hypothetical protein
group_1405,hypothetical protein
group_1065,hypothetical protein
group_1031,hypothetical protein
group_415,hypothetical protein
group_289,hypothetical protein
group_3,hypothetical protein
group_6599,hypothetical protein
yhaV,Ribonuclease toxin YhaV
group_6579,hypothetical protein
group_6576,hypothetical protein
prlF,Antitoxin PrlF;hypothetical protein
group_6530,hypothetical protein
group_5302,hypothetical protein
ygcB_2_ygcB_1_ygcB,CRISPR-associated endonuclease/helicase Cas3
group_2333,hypothetical protein
group_2277,hypothetical protein
bin3_2_bin3,Putative transposon Tn552 DNA-invertase bin3
group_1686,hypothetical protein
xerC_2_xerC_4_xerC_1_xerC_3,hypothetical protein;Tyrosine recombinase XerC
group_1598,hypothetical protein
group_1370,hypothetical protein
group_962,hypothetical protein
group_941,hypothetical protein
group_939,hypothetical protein
group_271,hypothetical protein
csy1,CRISPR-associated protein Csy1
group_6600,hypothetical protein
hha_2_ymoA,Hemolysin expression-modulating protein Hha;Modulating protein YmoA
group_6595,hypothetical protein
group_6588,hypothetical protein
group_6585,hypothetical protein
group_6584,hypothetical protein
group_6580,hypothetical protein
group_6578,hypothetical protein
group_6573,hypothetical protein
group_6569,hypothetical protein
group_6568,hypothetical protein
group_6566,hypothetical protein
group_6565,hypothetical protein
group_6561,hypothetical protein
group_6560,hypothetical protein
group_6559,hypothetical protein
group_6554,hypothetical protein
group_6548,hypothetical protein
group_6544,hypothetical protein
group_6543,hypothetical protein
group_6541,hypothetical protein
group_6539,hypothetical protein
group_6537,hypothetical protein
group_6535,hypothetical protein
group_6532,hypothetical protein
group_6526,hypothetical protein
group_6521,hypothetical protein
group_6520,hypothetical protein
casA,CRISPR system Cascade subunit CasA
cas6f,CRISPR-associated endonuclease Cas6/Csy4
group_5581,hypothetical protein
group_5264,hypothetical protein
casE,CRISPR system Cascade subunit CasE
group_5029,hypothetical protein
csy2,CRISPR-associated protein Csy2
group_4645,CRISPR system Cascade subunit CasD
group_4590,hypothetical protein
csy3_1_csy3_2_csy3,CRISPR-associated protein Csy3
group_3550,hypothetical protein
ybcO,Putative nuclease YbcO
group_1670,hypothetical protein
group_1646,hypothetical protein
group_1353,hypothetical protein
group_1258,hypothetical protein
group_964,hypothetical protein
yfjS_yafY_yfjS_1,Lipoprotein YfjS;Lipoprotein YafY
group_604,hypothetical protein
casB,CRISPR system Cascade subunit CasB
group_121,hypothetical protein
group_6598,hypothetical protein
group_6596,Antitoxin HigA
group_6594,hypothetical protein
group_6592,hypothetical protein
group_6590,hypothetical protein;Coupling protein TraD
group_6586,hypothetical protein
group_6581,hypothetical protein
group_6575,hypothetical protein
group_6571,hypothetical protein
group_6567,hypothetical protein
dsbC_2,Thiol:disulfide interchange protein DsbC;hypothetical protein
traC_traC_2,Protein TraC
group_6564,hypothetical protein
group_6563,ATP-dependent RecD-like DNA helicase
group_6555,hypothetical protein
group_6551,hypothetical protein
group_6550,hypothetical protein
group_6547,hypothetical protein
group_6545,hypothetical protein
group_6542,Tyrosine recombinase XerC
group_6540,hypothetical protein
group_6538,hypothetical protein
group_6529,hypothetical protein
dnaB_2_dnaB_3_dnaB_1,Replicative DNA helicase
group_6527,hypothetical protein
group_6525,hypothetical protein
group_6522,hypothetical protein
cas1,CRISPR-associated endonuclease Cas1
group_5874,hypothetical protein
group_5660,hypothetical protein
group_5499,hypothetical protein
group_5211,putative protein
fabD_1,Malonyl CoA-acyl carrier protein transacylase
mdcG,Phosphoribosyl-dephospho-CoA transferase
group_4765,hypothetical protein
group_4756,hypothetical protein
group_4534,putative protein
group_4335,hypothetical protein
group_4039,hypothetical protein
madD,Malonyl-S-ACP:biotin-protein carboxyltransferase MADD
madC,Malonyl-S-ACP:biotin-protein carboxyltransferase MADC
group_3743,hypothetical protein
group_3613,hypothetical protein
citG_1,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
group_3430,hypothetical protein
gltC,HTH-type transcriptional regulator GltC
mdcC,Malonate decarboxylase acyl carrier protein
group_2876,hypothetical protein
group_2511,hypothetical protein
group_1888,hypothetical protein
madA,Acetyl-S-ACP:malonate ACP transferase
group_1612,hypothetical protein
group_1592,hypothetical protein
group_1205,hypothetical protein
group_796,hypothetical protein
rusA_rusA_2_rusA_1,Crossover junction endodeoxyribonuclease RusA
group_606,hypothetical protein
group_225,hypothetical protein
group_153,hypothetical protein
group_6587,hypothetical protein
group_6582,hypothetical protein
group_6574,hypothetical protein
group_6562,hypothetical protein
group_6553,hypothetical protein
group_6536,hypothetical protein
group_6528,hypothetical protein
group_6321,hypothetical protein
group_5920,hypothetical protein
cas3,CRISPR-associated nuclease/helicase Cas3 subtype I-F/YPEST
group_4348,hypothetical protein
group_4000,hypothetical protein
group_3890,hypothetical protein
group_3819,hypothetical protein
group_3174,hypothetical protein
group_2332,hypothetical protein
group_2325,hypothetical protein
group_2157,hypothetical protein
group_1799,hypothetical protein
group_1758,hypothetical protein
group_1757,hypothetical protein
group_1609,hypothetical protein
psiB,hypothetical protein;Protein PsiB
group_1550,hypothetical protein
group_1397,hypothetical protein
group_1190,hypothetical protein
group_930,hypothetical protein
group_832,hypothetical protein
group_640,hypothetical protein
ybiI_1,putative protein YbiI
group_256,hypothetical protein
group_6549,hypothetical protein
group_5831,hypothetical protein
group_5267,hypothetical protein
group_5159,hypothetical protein
group_5105,hypothetical protein
group_5032,hypothetical protein
group_5027,hypothetical protein
group_4751,hypothetical protein
arsC_1_arsC_2,Arsenate reductase
group_4639,hypothetical protein
group_4577,hypothetical protein
group_4321,hypothetical protein
group_4313,hypothetical protein;Tyrosine recombinase XerC
group_3362,hypothetical protein
group_3211,hypothetical protein
group_3024,hypothetical protein
group_2912,hypothetical protein
group_2708,hypothetical protein
group_2324,hypothetical protein
group_2140,IS5 family transposase IS903;hypothetical protein
group_2000,hypothetical protein
group_1953,hypothetical protein
group_1924,hypothetical protein
group_1461,hypothetical protein
group_1343,hypothetical protein
group_1329,hypothetical protein
group_1231,hypothetical protein
group_1077,hypothetical protein
group_777,hypothetical protein
group_250,hypothetical protein
group_6552,hypothetical protein
group_6531,Antirestriction protein KlcA
group_6050,hypothetical protein
group_5158,hypothetical protein
group_4932,hypothetical protein
group_4552,hypothetical protein
group_4353,hypothetical protein
group_4203,Arsenical pump membrane protein
group_3983,hypothetical protein
group_1862,hypothetical protein
nimR_1_nimR_2,HTH-type transcriptional regulator NimR
group_1706,hypothetical protein
noc_noc_2,Nucleoid occlusion protein;hypothetical protein
group_1573,hypothetical protein
group_959,hypothetical protein
group_875,hypothetical protein
group_5974,hypothetical protein
intA_intS_intA_2_intA_1,Prophage integrase IntA;Prophage integrase IntS
yobK,Antitoxin YobK
group_4815,hypothetical protein
group_4606,hypothetical protein
group_4094,hypothetical protein
group_3493,hypothetical protein
group_2330,hypothetical protein
group_2045,hypothetical protein
group_1894,RNA polymerase-associated protein RapA
group_1662,hypothetical protein
group_1547,hypothetical protein
group_1323,hypothetical protein
xerC_3_xerC_1_xerC_4_xerC_7,Tyrosine recombinase XerC
group_1078,hypothetical protein
insK,IS3 family transposase ISEhe3;Putative transposase InsK for insertion sequence element IS150;hypothetical protein
group_1021,hypothetical protein
group_888,hypothetical protein
group_364,hypothetical protein
group_6577,hypothetical protein
mbeC,Mobilization protein MbeC
group_6317,hypothetical protein
group_5367,hypothetical protein
group_4878,hypothetical protein
group_4637,DNA replication and repair protein RecF;hypothetical protein
group_4310,hypothetical protein
group_4298,hypothetical protein
group_4238,hypothetical protein
group_4037,hypothetical protein
group_3730,DNA replication and repair protein RecF
group_3069,hypothetical protein
group_2909,hypothetical protein
group_2290,hypothetical protein
group_2289,hypothetical protein
era_1_era_2_der_2_era_3_der_1,GTPase Era;GTPase Der
group_1947,hypothetical protein
traC_2_traC_traC_1,DNA primase TraC
group_1634,hypothetical protein
group_1596,hypothetical protein
group_1276,hypothetical protein
group_1233,hypothetical protein
group_1159,hypothetical protein
group_1153,hypothetical protein
group_1108,hypothetical protein
group_895,hypothetical protein
group_889,hypothetical protein
group_720,hypothetical protein
group_623,hypothetical protein
group_282,hypothetical protein
group_6772,IS3 family transposase ISSty2;IS3 family transposase ISEc17
group_6583,hypothetical protein
group_6558,hypothetical protein
group_6313,hypothetical protein
group_5610,hypothetical protein
group_5568,hypothetical protein
group_5402,hypothetical protein
group_4694,hypothetical protein
group_4282,hypothetical protein
group_4115,hypothetical protein
group_3392,hypothetical protein
group_3042,hypothetical protein
group_2541,hypothetical protein
group_2287,hypothetical protein
group_2082,hypothetical protein
group_1825,hypothetical protein
group_1788,hypothetical protein
group_1328,hypothetical protein
group_1308,hypothetical protein
group_1272,hypothetical protein
group_1195,putative HTH-type transcriptional regulator
group_1048,hypothetical protein
group_887,hypothetical protein
group_867,hypothetical protein
group_693,hypothetical protein
group_634,hypothetical protein
group_9552,IS110 family transposase IS5075;IS110 family transposase IS4321R
group_6023,hypothetical protein
group_5396,hypothetical protein
group_5254,hypothetical protein
group_5224,hypothetical protein
group_4959,hypothetical protein
group_4634,hypothetical protein
group_4385,hypothetical protein
group_4212,hypothetical protein
group_4150,hypothetical protein
yycB,putative transporter YycB
group_3994,CRISPR system Cascade subunit CasC
group_3672,hypothetical protein
degA,HTH-type transcriptional regulator DegA
group_3540,hypothetical protein
mneP,Manganese efflux system protein MneP
melB,Melibiose carrier protein
group_2542,hypothetical protein
group_2260,hypothetical protein
group_2078,hypothetical protein
group_2031,hypothetical protein
group_1980,hypothetical protein
group_1724,hypothetical protein
group_1707,hypothetical protein
group_1701,Putative prophage major tail sheath protein
group_1666,hypothetical protein
group_1652,hypothetical protein
group_1632,hypothetical protein
group_1603,hypothetical protein
group_1412,hypothetical protein
group_1134,hypothetical protein
group_1133,Type IV secretion system protein VirB11
group_1111,hypothetical protein
group_1110,hypothetical protein
group_1079,Type IV secretion system protein virB4
virB9,Type IV secretion system protein virB9
group_1020,hypothetical protein
ptlE,Type IV secretion system protein PtlE
group_883,hypothetical protein
group_882,hypothetical protein
group_841,hypothetical protein
group_814,hypothetical protein
group_783,hypothetical protein
group_761,hypothetical protein
group_699,hypothetical protein
group_651,hypothetical protein
group_616,hypothetical protein
group_485,hypothetical protein
group_448,hypothetical protein
group_358,hypothetical protein
group_6774,IS3 family transposase ISEal1;IS3 family transposase IS3;IS3 family transposase ISEc17
group_5916,Prophage tail fiber assembly protein TfaE
group_5893,hypothetical protein
dbpA_dbpA_1_dbpA_2,hypothetical protein;ATP-dependent RNA helicase DbpA
group_5793,hypothetical protein
hin_1_hin,DNA-invertase hin
gstB_2,Glutathione S-transferase GstB
group_4312,hypothetical protein
group_4263,hypothetical protein
gcvA_1,Glycine cleavage system transcriptional activator
group_3665,hypothetical protein
group_3023,hypothetical protein
group_2964,hypothetical protein
group_2261,hypothetical protein
group_2154,hypothetical protein
group_2064,hypothetical protein
group_2032,hypothetical protein;Lysozyme RrrD
group_2029,hypothetical protein
group_2028,hypothetical protein
arsR2_arsR1_1,Arsenic resistance transcriptional regulator ArsR2;Arsenic resistance transcriptional regulator ArsR1;hypothetical protein
arsB_1_arsB_2,Arsenical pump membrane protein
group_1981,hypothetical protein
era_3_era_1_era_2,GTPase Era
group_1742,hypothetical protein
group_1452,hypothetical protein
ydiV_1_pdeH_2_ydiV_2_pdeH_1,Putative anti-FlhC(2)FlhD(4) factor YdiV;Cyclic di-GMP phosphodiesterase PdeH
group_1211,hypothetical protein
traR_1_traR,Protein TraR
group_71,hypothetical protein
group_5155,hypothetical protein
group_5069,hypothetical protein
group_4591,HTH-type transcriptional regulator PrtR
group_4299,hypothetical protein
group_4219,hypothetical protein
group_4024,hypothetical protein
group_3824,hypothetical protein
group_3769,hypothetical protein
group_3664,hypothetical protein
ydiV_1_ydiV_2,Putative anti-FlhC(2)FlhD(4) factor YdiV
group_3528,hypothetical protein
group_3207,putative protein
group_3150,hypothetical protein
group_2939,hypothetical protein
group_2914,hypothetical protein
group_2836,hypothetical protein
group_2759,hypothetical protein
group_2683,hypothetical protein
group_2654,hypothetical protein
group_2337,hypothetical protein
group_2272,hypothetical protein
recD2_1_traI_recD2,ATP-dependent RecD-like DNA helicase;Multifunctional conjugation protein TraI;hypothetical protein
group_1739,hypothetical protein
lexA_1_lexA_4_lexA_2,LexA repressor
group_955,hypothetical protein
group_946,hypothetical protein
group_934,hypothetical protein
ypjF_ypjF_2,Toxin YpjF
group_840,hypothetical protein
cbeA_cbeA_2,Cytoskeleton bundling-enhancing antitoxin CbeA
group_581,hypothetical protein
group_574,hypothetical protein
group_184,hypothetical protein
dnaT_2_dnaT_1,Primosomal protein 1
group_5743,hypothetical protein
group_5214,hypothetical protein
group_5167,hypothetical protein
group_4977,hypothetical protein
group_4487,hypothetical protein
group_3910,hypothetical protein
group_3857,hypothetical protein
group_3851,hypothetical protein
group_3440,hypothetical protein
group_3407,hypothetical protein
group_3359,hypothetical protein
group_2887,hypothetical protein
group_2487,hypothetical protein
group_2298,hypothetical protein
group_1921,hypothetical protein
group_1868,hypothetical protein
group_1811,hypothetical protein
group_1624,hypothetical protein
group_1564,hypothetical protein
group_1175,hypothetical protein
group_729,hypothetical protein
group_635,hypothetical protein
group_292,hypothetical protein
group_141,hypothetical protein
group_5738,hypothetical protein
group_5713,hypothetical protein
group_5498,hypothetical protein
group_5483,hypothetical protein
group_5426,hypothetical protein
group_5344,hypothetical protein
group_5124,Prophage tail fiber assembly protein TfaE
group_5000,hypothetical protein
group_4791,hypothetical protein
group_4695,Zinc-type alcohol dehydrogenase-like protein
group_4619,putative HTH-type transcriptional regulator
group_4442,LexA repressor
group_4437,hypothetical protein
group_4409,hypothetical protein
group_4247,hypothetical protein
group_4053,hypothetical protein
group_4031,hypothetical protein
group_3379,hypothetical protein
group_2883,hypothetical protein
bspRIM,Modification methylase BspRI
group_2731,hypothetical protein
group_2599,hypothetical protein
group_2552,hypothetical protein
group_2369,hypothetical protein
group_2308,hypothetical protein
group_2276,Plasmid segregation protein ParM
group_2247,hypothetical protein
group_2234,hypothetical protein
group_2228,hypothetical protein
group_2176,hypothetical protein
group_2175,hypothetical protein
group_2174,hypothetical protein
group_1997,Tn3 family transposase ISYps3
group_1964,hypothetical protein
group_1906,hypothetical protein
group_1896,hypothetical protein
group_1873,hypothetical protein
group_1783,hypothetical protein
group_1774,hypothetical protein
group_1661,hypothetical protein
group_1513,hypothetical protein
group_1509,hypothetical protein
group_1067,hypothetical protein
group_1057,hypothetical protein
group_896,hypothetical protein
group_824,hypothetical protein
ypjF_ykfI,Toxin YpjF;Toxin YkfI
group_440,hypothetical protein
group_369,hypothetical protein
group_309,Lysozyme RrrD
group_297,hypothetical protein
group_194,hypothetical protein
group_6318,hypothetical protein
group_6067,hypothetical protein
group_5495,hypothetical protein
group_5414,hypothetical protein
group_5176,hypothetical protein
group_5137,Ice-binding protein 1;hypothetical protein
clpP_2,ATP-dependent Clp protease proteolytic subunit
